building_name,num_tiles,coating_deterioration_mean,cracks_mean,masonry_degradation_mean,moisture_bio_damage_mean,vandalism_mean,coating_deterioration_max,cracks_max,masonry_degradation_max,moisture_bio_damage_max,vandalism_max,coating_deterioration_prevalence,cracks_prevalence,masonry_degradation_prevalence,moisture_bio_damage_prevalence,vandalism_prevalence
IMG_20260320_154755,30,0.02,0.0,0.01,0.0,0.0,0.12,0.01,0.08,0.03,0.0,0.47,0.0,0.17,0.13,0.0
DSC02450,42,0.02,0.0,0.0,0.0,0.0,0.2,0.0,0.04,0.03,0.01,0.29,0.0,0.05,0.02,0.05
DSC02211,42,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.1,0.01,0.02,0.0,0.0,0.02,0.0
1000032450,9,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DSC02152,42,0.0,0.0,0.0,0.01,0.0,0.04,0.02,0.0,0.08,0.0,0.07,0.05,0.0,0.31,0.0
81,12,0.06,0.0,0.0,0.0,0.0,0.15,0.02,0.01,0.03,0.0,0.83,0.08,0.0,0.08,0.0
DSC02375,36,0.03,0.0,0.0,0.02,0.0,0.23,0.01,0.05,0.12,0.0,0.28,0.03,0.11,0.53,0.0
46,12,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.01,0.0,0.17,0.17,0.0,0.0,0.0
DSC02174,24,0.03,0.0,0.0,0.22,0.0,0.21,0.01,0.0,0.53,0.0,0.42,0.0,0.0,0.67,0.0
DSC02508,20,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.01,0.01,0.1,0.0,0.0,0.0,0.0
2026-04-09 17-53-21,12,0.01,0.0,0.0,0.0,0.0,0.06,0.01,0.0,0.0,0.0,0.33,0.0,0.0,0.0,0.0
IMG_20260410_135113377_HDR,30,0.12,0.0,0.0,0.06,0.0,0.38,0.02,0.02,0.28,0.02,0.83,0.07,0.03,0.47,0.1
IMG_20260410_131802350_HDR,30,0.01,0.0,0.0,0.0,0.0,0.12,0.01,0.04,0.04,0.02,0.2,0.0,0.1,0.13,0.03
IMG_20260318_075635475_HDR,20,0.01,0.0,0.01,0.0,0.0,0.09,0.01,0.09,0.03,0.0,0.2,0.05,0.15,0.05,0.0
DSC02289,42,0.0,0.0,0.0,0.0,0.0,0.02,0.01,0.0,0.01,0.0,0.07,0.0,0.0,0.0,0.0
IMG_20260410_134825865_HDR,30,0.14,0.0,0.01,0.06,0.0,0.42,0.01,0.07,0.37,0.0,0.83,0.03,0.13,0.47,0.0
DSC02342,24,0.01,0.0,0.0,0.01,0.0,0.1,0.0,0.0,0.03,0.0,0.38,0.0,0.0,0.25,0.0
IMG_20260410_142701158_HDR,16,0.02,0.0,0.0,0.0,0.0,0.12,0.0,0.01,0.0,0.02,0.38,0.0,0.06,0.0,0.12
IMG_20260325_075617182_HDR,20,0.03,0.0,0.0,0.06,0.0,0.08,0.01,0.0,0.35,0.0,0.65,0.0,0.0,0.55,0.0
61,12,0.1,0.0,0.0,0.0,0.02,0.46,0.01,0.01,0.04,0.05,0.5,0.0,0.0,0.17,0.67
2026-04-09 17-38-15,28,0.03,0.0,0.0,0.01,0.0,0.27,0.01,0.03,0.12,0.0,0.32,0.0,0.04,0.14,0.0
IMG_20260318_120221,30,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0
IMG_20260317_113448622_HDR,30,0.16,0.0,0.0,0.01,0.0,0.55,0.0,0.05,0.14,0.0,0.67,0.0,0.13,0.2,0.0
IMG_20260318_115219,30,0.01,0.0,0.0,0.0,0.0,0.12,0.0,0.05,0.01,0.0,0.17,0.0,0.2,0.03,0.0
2026-04-02 17-25-18,15,0.06,0.0,0.0,0.02,0.0,0.2,0.0,0.02,0.2,0.0,0.8,0.0,0.07,0.33,0.0
DSC02542,24,0.01,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.04,0.01,0.21,0.0,0.0,0.08,0.0
DSC02544,20,0.0,0.0,0.0,0.01,0.0,0.04,0.0,0.0,0.09,0.01,0.05,0.0,0.0,0.2,0.0
IMG_20260320_081159910_HDR,20,0.0,0.0,0.0,0.0,0.0,0.03,0.02,0.0,0.0,0.0,0.1,0.15,0.0,0.0,0.0
IMG_20260317_130539386_HDR,30,0.18,0.0,0.01,0.0,0.0,0.69,0.01,0.08,0.01,0.01,0.8,0.03,0.3,0.0,0.0
27,12,0.03,0.0,0.0,0.03,0.06,0.15,0.0,0.0,0.13,0.23,0.42,0.0,0.0,0.42,0.42
35,12,0.08,0.0,0.0,0.01,0.0,0.24,0.0,0.0,0.09,0.0,0.75,0.0,0.0,0.17,0.0
25,12,0.11,0.0,0.0,0.02,0.0,0.27,0.0,0.01,0.09,0.01,0.92,0.0,0.17,0.42,0.08
IMG_20260320_154600,30,0.02,0.0,0.0,0.0,0.0,0.09,0.01,0.0,0.04,0.0,0.5,0.03,0.0,0.2,0.0
IMG_20260320_153530,30,0.04,0.0,0.0,0.0,0.0,0.16,0.01,0.02,0.03,0.03,0.63,0.0,0.17,0.03,0.13
67,12,0.02,0.01,0.0,0.07,0.0,0.04,0.03,0.0,0.23,0.0,0.42,0.25,0.0,0.67,0.0
DSC02393,24,0.0,0.0,0.0,0.04,0.0,0.02,0.0,0.0,0.25,0.01,0.21,0.0,0.0,0.29,0.0
20,9,0.01,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.02,0.01,0.33,0.0,0.0,0.11,0.0
DSC02209,30,0.0,0.0,0.0,0.06,0.0,0.02,0.0,0.01,0.3,0.05,0.07,0.0,0.0,0.5,0.07
IMG_20260410_131927127_HDR,30,0.01,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.03,0.01,0.2,0.0,0.0,0.13,0.03
DSC02404,24,0.04,0.0,0.0,0.0,0.0,0.16,0.02,0.01,0.02,0.0,0.54,0.08,0.0,0.12,0.0
DSC02271,24,0.02,0.01,0.0,0.0,0.0,0.23,0.07,0.0,0.03,0.01,0.21,0.21,0.0,0.12,0.0
IMG_20260410_142628731_HDR,18,0.04,0.0,0.0,0.02,0.0,0.11,0.01,0.0,0.08,0.0,0.5,0.06,0.0,0.33,0.0
IMG_20260410_135750395_HDR,30,0.09,0.0,0.0,0.03,0.0,0.28,0.02,0.01,0.31,0.02,0.73,0.03,0.0,0.3,0.1
DSC02250,42,0.0,0.0,0.0,0.0,0.0,0.05,0.01,0.12,0.01,0.0,0.12,0.0,0.05,0.0,0.0
IMG_20260320_151341,30,0.01,0.0,0.0,0.02,0.0,0.07,0.01,0.0,0.17,0.0,0.3,0.0,0.0,0.33,0.0
DSC02422,36,0.04,0.0,0.01,0.0,0.0,0.23,0.01,0.07,0.01,0.03,0.5,0.0,0.22,0.0,0.06
19,12,0.14,0.0,0.0,0.01,0.0,0.46,0.0,0.0,0.05,0.03,0.58,0.0,0.0,0.25,0.08
IMG_20260410_134735979_HDR,30,0.27,0.0,0.0,0.02,0.0,0.47,0.01,0.0,0.18,0.02,0.97,0.03,0.0,0.37,0.03
1000021107,30,0.11,0.0,0.0,0.02,0.0,0.31,0.01,0.04,0.11,0.0,0.87,0.0,0.1,0.37,0.0
IMG_20260410_134543453_HDR,25,0.14,0.0,0.01,0.03,0.0,0.62,0.01,0.06,0.25,0.02,0.52,0.0,0.16,0.16,0.04
DSC02532,24,0.03,0.0,0.0,0.0,0.0,0.16,0.02,0.0,0.01,0.01,0.42,0.08,0.0,0.0,0.0
IMG_20260317_113415094_HDR,24,0.19,0.0,0.0,0.0,0.0,0.59,0.0,0.01,0.01,0.0,0.75,0.0,0.0,0.04,0.0
DSC02259,24,0.16,0.0,0.03,0.01,0.01,0.5,0.0,0.1,0.09,0.11,0.75,0.0,0.46,0.12,0.17
30,12,0.01,0.0,0.0,0.15,0.0,0.11,0.0,0.01,0.32,0.0,0.33,0.0,0.08,1.0,0.0
IMG_20260320_160147,30,0.01,0.0,0.01,0.0,0.0,0.09,0.0,0.14,0.01,0.0,0.17,0.0,0.2,0.03,0.0
DSC02428,24,0.01,0.0,0.0,0.0,0.0,0.07,0.01,0.02,0.0,0.01,0.12,0.04,0.08,0.0,0.0
DSC02201,24,0.0,0.01,0.0,0.0,0.0,0.03,0.08,0.01,0.01,0.0,0.12,0.08,0.0,0.04,0.0
DSC02473,24,0.0,0.0,0.0,0.01,0.0,0.06,0.01,0.02,0.08,0.0,0.04,0.0,0.08,0.29,0.0
IMG_20260410_141553710_HDR,25,0.05,0.0,0.0,0.01,0.0,0.31,0.01,0.0,0.15,0.0,0.44,0.0,0.0,0.12,0.0
IMG_20260410_135624056_HDR,30,0.01,0.0,0.0,0.0,0.0,0.15,0.01,0.0,0.0,0.01,0.13,0.0,0.0,0.0,0.03
DSC02305,24,0.05,0.0,0.0,0.0,0.0,0.29,0.02,0.02,0.03,0.0,0.38,0.04,0.04,0.12,0.0
DSC02185,42,0.03,0.0,0.0,0.18,0.0,0.23,0.01,0.0,0.45,0.05,0.4,0.02,0.0,0.69,0.07
1000021129,30,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.0,0.0,0.0,0.03,0.03,0.0,0.0,0.0
IMG_20260413_113721,12,0.01,0.0,0.0,0.0,0.0,0.1,0.01,0.01,0.0,0.0,0.08,0.08,0.0,0.0,0.0
IMG_20260410_131353115_HDR,30,0.02,0.01,0.0,0.0,0.0,0.08,0.03,0.0,0.0,0.01,0.4,0.4,0.0,0.0,0.0
DSC02537,24,0.01,0.0,0.0,0.0,0.0,0.1,0.03,0.01,0.01,0.0,0.29,0.12,0.0,0.04,0.0
IMG_20260413_114241,25,0.0,0.0,0.0,0.02,0.0,0.02,0.0,0.0,0.18,0.0,0.12,0.0,0.0,0.32,0.0
72,9,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,12,0.02,0.0,0.0,0.04,0.0,0.05,0.02,0.01,0.12,0.01,0.58,0.08,0.08,0.67,0.0
DSC02368,24,0.01,0.0,0.0,0.16,0.0,0.1,0.01,0.01,0.48,0.01,0.33,0.0,0.04,0.58,0.0
DSC02223,24,0.02,0.04,0.0,0.06,0.0,0.11,0.38,0.0,0.19,0.01,0.42,0.25,0.0,0.58,0.04
DSC02572,24,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0
39,12,0.09,0.0,0.0,0.14,0.0,0.22,0.0,0.0,0.41,0.0,0.92,0.0,0.0,0.92,0.0
DSC02459,24,0.0,0.0,0.0,0.03,0.0,0.03,0.01,0.0,0.29,0.02,0.17,0.0,0.0,0.42,0.04
DSC02573,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0
DSC02399,24,0.0,0.01,0.0,0.0,0.0,0.03,0.05,0.03,0.04,0.0,0.17,0.33,0.04,0.12,0.0
DSC02380,24,0.02,0.0,0.01,0.07,0.0,0.06,0.01,0.06,0.25,0.02,0.33,0.0,0.08,0.67,0.04
DSC02207,42,0.01,0.0,0.0,0.02,0.0,0.1,0.0,0.04,0.29,0.08,0.29,0.0,0.02,0.21,0.05
IMG_20260317_113335801_HDR,30,0.15,0.0,0.01,0.01,0.0,0.63,0.0,0.19,0.1,0.03,0.7,0.0,0.13,0.17,0.1
